Academic Yr,Semester Nm,Instructional Format Nm,Course Subject Short Nm,Enrollment Cnt,Offerings,EnrollPerOff,NA,Units
2015-16,Fall,Lecture,Mathematics,7867,74,106.3108108,171,30254
2014-15,Fall,Lecture,Mathematics,7686,74,103.8648649,171,29553
2015-16,Spring,Lecture,Computer Science,7749,46,168.4565217,171,29494
2015-16,Fall,Lecture,Computer Science,7455,53,140.6603774,171,28579
2013-14,Fall,Lecture,Mathematics,7211,75,96.14666667,171,27726
2014-15,Spring,Lecture,Computer Science,6910,39,177.1794872,171,26296
2015-16,Spring,Lecture,Mathematics,6710,70,95.85714286,171,25682
2014-15,Spring,Lecture,Mathematics,6687,71,94.18309859,171,25612
2011-12,Fall,Lecture,Mathematics,6691,70,95.58571429,171,25435
2012-13,Fall,Lecture,Mathematics,6595,70,94.21428571,171,25342
2013-14,Spring,Lecture,Mathematics,6526,73,89.39726027,171,24907
2014-15,Fall,Lecture,Computer Science,6336,53,119.5471698,171,24344
2010-11,Fall,Lecture,Mathematics,6182,74,83.54054054,171,23475
2011-12,Spring,Lecture,Mathematics,6143,69,89.02898551,171,23070
2009-10,Fall,Lecture,Mathematics,5958,66,90.27272727,171,22751
2012-13,Spring,Lecture,Mathematics,5855,67,87.3880597,171,22260
2008-09,Fall,Lecture,Mathematics,5728,78,73.43589744,171,21770
2007-08,Fall,Lecture,Mathematics,5700,72,79.16666667,171,21668
2013-14,Spring,Lecture,Computer Science,5633,45,125.1777778,171,21620
2003-04,Fall,Lecture,Mathematics,5512,80,68.9,171,21113
2010-11,Spring,Lecture,Mathematics,5557,73,76.12328767,171,20852
2013-14,Fall,Lecture,Computer Science,5435,44,123.5227273,171,20800
2009-10,Spring,Lecture,Mathematics,5455,75,72.73333333,171,20573
2006-07,Fall,Lecture,Mathematics,5389,66,81.65151515,171,20484
2005-06,Fall,Lecture,Mathematics,5215,66,79.01515152,171,19854
2008-09,Spring,Lecture,Mathematics,5215,86,60.63953488,171,19560
2004-05,Fall,Lecture,Mathematics,5100,67,76.11940299,171,19424
2007-08,Spring,Lecture,Mathematics,4947,81,61.07407407,171,18603
2006-07,Spring,Lecture,Mathematics,4664,69,67.5942029,171,17709
2003-04,Spring,Lecture,Mathematics,4603,73,63.05479452,171,17562
2012-13,Spring,Lecture,Computer Science,4521,46,98.2826087,171,17339
2005-06,Spring,Lecture,Mathematics,4530,61,74.26229508,171,17134
2015-16,Spring,Lecture,Economics,4294,46,93.34782609,171,17005
2005-06,Fall,Lecture,Political Science,4675,36,129.8611111,171,16657
2012-13,Fall,Lecture,Computer Science,4332,45,96.26666667,171,16616
2004-05,Spring,Lecture,Political Science,4655,32,145.46875,171,16532
2003-04,Spring,Lecture,Political Science,4625,34,136.0294118,171,16310
2004-05,Fall,Lecture,Political Science,4618,36,128.2777778,171,16291
2006-07,Fall,Lecture,Chemistry,5401,44,122.75,171,16289
2004-05,Spring,Lecture,Mathematics,4250,64,66.40625,171,16178
2007-08,Fall,Lecture,Chemistry,5273,42,125.547619,171,16004
2015-16,Fall,Lecture,Economics,4057,38,106.7631579,171,15985
2014-15,Fall,Lecture,Economics,4051,41,98.80487805,171,15908
2014-15,Spring,Lecture,Economics,4109,47,87.42553191,171,15821
2005-06,Fall,Lecture,Chemistry,5241,45,116.4666667,171,15764
2008-09,Fall,Lecture,Chemistry,5130,43,119.3023256,171,15572
2009-10,Fall,Lecture,Chemistry,5032,42,119.8095238,171,15495
2013-14,Spring,Lecture,Economics,4023,44,91.43181818,171,15485
2013-14,Fall,Lecture,Chemistry,6258,48,130.375,171,15426
2010-11,Fall,Lecture,Chemistry,4974,43,115.6744186,171,15379
2011-12,Spring,Lecture,Computer Science,4038,45,89.73333333,171,15378
2015-16,Fall,Lecture,Chemistry,6221,47,132.3617021,171,15341
2009-10,Spring,Lecture,Economics,3923,44,89.15909091,171,15107
2004-05,Fall,Lecture,Chemistry,4038,37,109.1351351,171,15076
2012-13,Fall,Lecture,Chemistry,6032,49,123.1020408,171,15035
2006-07,Fall,Lecture,Political Science,4250,30,141.6666667,171,15023
2011-12,Fall,Lecture,Chemistry,6111,48,127.3125,171,14948
2006-07,Spring,Lecture,Political Science,4263,38,112.1842105,171,14913
2012-13,Spring,Lecture,Economics,3873,44,88.02272727,171,14906
2005-06,Spring,Lecture,Political Science,4249,35,121.4,171,14860
2014-15,Fall,Lecture,Chemistry,5985,43,139.1860465,171,14805
2003-04,Fall,Lecture,Political Science,4001,28,142.8928571,171,14681
2011-12,Fall,Lecture,Business Admin-Undergrad,4954,61,81.21311475,171,14470
2003-04,Fall,Lecture,Chemistry,3878,40,96.95,171,14374
2008-09,Fall,Lecture,Economics,3663,42,87.21428571,171,14371
2006-07,Spring,Lecture,Chemistry,4955,48,103.2291667,171,14334
2007-08,Spring,Lecture,Economics,3767,47,80.14893617,171,14325
2013-14,Fall,Lecture,Economics,3627,35,103.6285714,171,14292
2007-08,Fall,Lecture,Political Science,4079,34,119.9705882,171,14264
2011-12,Spring,Lecture,Chemistry,5705,39,146.2820513,171,14253
2012-13,Fall,Lecture,Business Admin-Undergrad,4898,62,79,171,14192
2013-14,Fall,Lecture,Business Admin-Undergrad,4846,64,75.71875,171,14095
2007-08,Spring,Lecture,Chemistry,4895,51,95.98039216,171,13960
2010-11,Spring,Lecture,Economics,3652,43,84.93023256,171,13896
2003-04,Spring,Lecture,Economics,3590,38,94.47368421,171,13824
2015-16,Fall,Lecture,Law,4346,129,33.68992248,171,13821
2009-10,Fall,Lecture,Economics,3493,34,102.7352941,171,13820
2010-11,Spring,Lecture,Chemistry,4656,46,101.2173913,171,13786
2012-13,Spring,Lecture,Chemistry,5403,48,112.5625,171,13759
2003-04,Spring,Lecture,History,3464,48,72.16666667,171,13756
2008-09,Spring,Lecture,Chemistry,4733,48,98.60416667,171,13642
2013-14,Spring,Lecture,Chemistry,5441,55,98.92727273,171,13633
2014-15,Fall,Lecture,Physics,3495,46,75.97826087,171,13628
2015-16,Fall,Lecture,Business Admin-Undergrad,4816,60,80.26666667,171,13614
2014-15,Fall,Lecture,Business Admin-Undergrad,4755,61,77.95081967,171,13588
2015-16,Spring,Lecture,Business Admin-Undergrad,4717,74,63.74324324,171,13568
2005-06,Spring,Lecture,Economics,3543,42,84.35714286,171,13548
2004-05,Spring,Lecture,Economics,3552,43,82.60465116,171,13527
2008-09,Fall,Lecture,Political Science,3929,39,100.7435897,171,13511
2011-12,Spring,Lecture,Economics,3568,45,79.28888889,171,13505
2011-12,Spring,Lecture,Business Admin-Undergrad,4692,66,71.09090909,171,13460
2010-11,Fall,Lecture,Economics,3383,38,89.02631579,171,13422
2011-12,Fall,Lecture,Economics,3376,35,96.45714286,171,13412
2005-06,Spring,Lecture,Chemistry,4620,50,92.4,171,13354
2013-14,Spring,Lecture,Business Admin-Undergrad,4681,69,67.84057971,171,13329
2013-14,Fall,Lecture,Physics,3406,41,83.07317073,171,13305
2008-09,Spring,Lecture,Economics,3588,45,79.73333333,171,13270
2011-12,Fall,Lecture,Computer Science,3423,47,72.82978723,171,13178
2007-08,Fall,Lecture,Economics,3363,39,86.23076923,171,13145
2009-10,Spring,Lecture,Chemistry,4697,51,92.09803922,171,13122
2010-11,Fall,Lecture,Physics,3335,38,87.76315789,171,13106
2008-09,Spring,Lecture,Political Science,3795,40,94.875,171,13056
2003-04,Spring,Lecture,Molecular & Cell Biology,3757,36,104.3611111,171,12981
2014-15,Spring,Lecture,Chemistry,5079,49,103.6530612,171,12980
2013-14,Spring,Lecture,Physics,3318,45,73.73333333,171,12956
2014-15,Spring,Lecture,Business Admin-Undergrad,4443,70,63.47142857,171,12948
2004-05,Fall,Lecture,Economics,3384,39,86.76923077,171,12945
2011-12,Fall,Lecture,Physics,3341,41,81.48780488,171,12942
2012-13,Spring,Lecture,Business Admin-Undergrad,4488,70,64.11428571,171,12878
2014-15,Fall,Lecture,Law,3956,112,35.32142857,171,12843
2012-13,Fall,Lecture,Physics,3283,38,86.39473684,171,12837
2011-12,Spring,Lecture,Physics,3296,41,80.3902439,171,12819
2014-15,Spring,Lecture,Sociology,3188,43,74.13953488,171,12790
2013-14,Fall,Lecture,Law,4110,119,34.53781513,171,12776
2012-13,Spring,Lecture,Physics,3257,39,83.51282051,171,12771
2004-05,Spring,Lecture,Chemistry,4411,46,95.89130435,171,12745
2006-07,Fall,Lecture,Economics,3274,40,81.85,171,12726
2009-10,Fall,Lecture,Political Science,3718,31,119.9354839,171,12701
2006-07,Spring,Lecture,Economics,3367,43,78.30232558,171,12686
2011-12,Fall,Lecture,Sociology,3118,37,84.27027027,171,12665
2012-13,Fall,Lecture,Sociology,3133,32,97.90625,171,12654
2010-11,Spring,Lecture,Business Admin-Undergrad,4269,66,64.68181818,171,12649
2014-15,Fall,Lecture,Sociology,3141,37,84.89189189,171,12634
2015-16,Spring,Lecture,Law,4362,166,26.27710843,171,12595
2004-05,Spring,Lecture,Molecular & Cell Biology,3647,38,95.97368421,171,12577
2014-15,Spring,Lecture,Physics,3191,45,70.91111111,171,12548
2012-13,Fall,Lecture,Economics,3185,35,91,171,12535
2009-10,Spring,Lecture,Political Science,3657,34,107.5588235,171,12522
2009-10,Spring,Lecture,Physics,3220,44,73.18181818,171,12488
2012-13,Fall,Lecture,Law,3941,114,34.57017544,171,12476
2013-14,Fall,Lecture,Sociology,3084,33,93.45454545,171,12466
2005-06,Fall,Lecture,Economics,3248,42,77.33333333,171,12435
2010-11,Fall,Lecture,Political Science,3627,33,109.9090909,171,12378
2015-16,Spring,Lecture,Sociology,3069,31,99,171,12302
2009-10,Fall,Lecture,Physics,3122,38,82.15789474,171,12291
