Academic Yr,DegLvl,DegLvlDesc,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Student Headcount,Prorated Student Major Cnt Sum
1983-84,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,123,120.5
1983-84,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chemistry,42,42
1983-84,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Other Chemistry Programs,1,1
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Bioengineering,4,4
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,78,76.5
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Comp Sci,224,220.5
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,11,11
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Rsch,24,22
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,25,16
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,153,146.5
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,23,17
1983-84,1,Bachelor,All,Clg of Env Design,Clg of Env Design,Architecture,203,203
1983-84,1,Bachelor,All,Clg of Env Design,Clg of Env Design,Landscape Arch & Env Plan,24,24
1983-84,1,Bachelor,All,Clg of Env Design,Clg of Env Design,Other Env Design Programs,7,7
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Chemistry,14,13.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Computer Science,182,170.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Legal Studies,64,62.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Social Welfare,58,53
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Art Practice,46,44.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Classics,12,11.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Comparative Literature,17,16.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,East Asian Lang & Culture,13,11.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,English,311,294.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Film and Media,12,11
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,French,60,46
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,German,14,12.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,History of Art,39,36.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Italian Studies,4,4
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Music,19,18.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Near Eastern Studies,8,7
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Other Arts & Humanities,27,26.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Philosophy,47,44
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Rhetoric,42,35.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Scandinavian,4,3.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Slavic Languages & Lit,14,11.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,South & SE Asian Studies,1,1
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Spanish & Portuguese,31,26.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Theater Dance & Perf Stds,27,25
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Integrative Biology,28,27
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Molecular & Cell Biology,273,268
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Other Bio Sciences Pgms,94,93
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Physical Education,43,41.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Astronomy,6,4
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Earth & Planetary Science,37,36.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Mathematics,138,123.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Other Phys Sci Programs,17,17
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Physics,82,69
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Statistics,27,23
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,African American Studies,3,2.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Anthropology,93,88
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Economics,208,181.3333333
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Ethnic Studies,31,30.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Gender & Womens Studies,11,9.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Geography,40,39
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,History,229,216.3333333
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Linguistics,26,23.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Other Social Sciences,123,122.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Political Science,339,314.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Psychology,216,199.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Sociology,104,95
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Undeclared,L&S Undeclared,1,1
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Undergraduate Div,IAS Teaching Program,150,141.3333333
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S-Undergraduate Div,UGIS-UG Interdisc Studies,126,117
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,58,58
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",123,123
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Science & Tox,45,45
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Other CNR Programs,33,33
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Wood Sci & Tech Grad Grp,3,3
1983-84,1,Bachelor,All,Grad School of Journalism,Grad School of Journalism,Journalism,1,1
1983-84,1,Bachelor,All,Haas School of Business,Haas School of Business,Business,305,305
1983-84,1,Bachelor,All,Other EVCP Programs,Other EVCP Programs,Other EVCP Programs,1,1
1983-84,1,Bachelor,All,School of Optometry,School of Optometry,Optometry,49,49
1984-85,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,100,99
1984-85,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chemistry,45,45
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Bioengineering,14,14
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,79,78.5
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Comp Sci,189,185
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,20,20
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Rsch,36,33.5
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,26,20
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,124,119.5
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,14,11.5
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Ocean Eng Grad Grp,7,7
1984-85,1,Bachelor,All,Clg of Env Design,Clg of Env Design,Architecture,186,186
1984-85,1,Bachelor,All,Clg of Env Design,Clg of Env Design,Landscape Arch & Env Plan,11,11
1984-85,1,Bachelor,All,Clg of Env Design,Clg of Env Design,Other Env Design Programs,6,6
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Chemistry,5,4.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Computer Science,128,118.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Legal Studies,55,53
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Administered Programs,L&S Social Welfare,52,45.83333333
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Art Practice,56,53.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Classics,7,6.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Comparative Literature,32,31.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,East Asian Lang & Culture,20,18
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,English,294,279.8333333
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Film and Media,12,10.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,French,64,49
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,German,21,14.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,History of Art,34,32
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Italian Studies,10,9
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Music,20,19.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Near Eastern Studies,10,8.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Other Arts & Humanities,34,33.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Philosophy,42,39.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Rhetoric,58,54
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Scandinavian,3,2
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Slavic Languages & Lit,11,9
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Spanish & Portuguese,26,24.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Theater Dance & Perf Stds,24,21.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Integrative Biology,27,26.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Molecular & Cell Biology,286,275
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Other Bio Sciences Pgms,92,87
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Physical Education,30,28
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Astronomy,11,8.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Earth & Planetary Science,41,40
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Mathematics,151,129
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Other Phys Sci Programs,9,8.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Physics,74,64.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Statistics,31,26.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,African American Studies,1,1
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Anthropology,62,57
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Economics,199,179
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Ethnic Studies,21,21
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Gender & Womens Studies,11,8.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Geography,40,39.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,History,212,193.8333333
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Linguistics,38,34.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Other Social Sciences,103,101
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Political Science,339,317
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Psychology,203,189.3333333
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,Sociology,88,82
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Undeclared,L&S Undeclared,1,1
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Undergraduate Div,IAS Teaching Program,177,168.3333333
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S-Undergraduate Div,UGIS-UG Interdisc Studies,118,111.3333333
1984-85,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,46,46
1984-85,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",102,102
1984-85,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Science & Tox,39,39
1984-85,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Other CNR Programs,26,26
1984-85,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Wood Sci & Tech Grad Grp,1,1
1984-85,1,Bachelor,All,Grad School of Journalism,Grad School of Journalism,Journalism,2,2
1984-85,1,Bachelor,All,Haas School of Business,Haas School of Business,Business,300,300
1984-85,1,Bachelor,All,School of Optometry,School of Optometry,Optometry,58,58
1985-86,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,90,87
1985-86,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chemistry,61,61
1985-86,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Bioengineering,9,9
1985-86,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,101,100.5
1985-86,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Comp Sci,233,229.5
1985-86,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,22,22
1985-86,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Rsch,33,30.5
