Semester Year Name,Semester Year Letter Cd Concat,Semester Nm,Ungrad Grad Cd,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Student Headcount,Prorated Student Major Cnt Sum,Student Headcount-DEC,Academic Yr
2005 Fall,2005 D,Fall,U,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,357,335.5,357,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Chemistry,Clg of Chemistry,Chemistry,466,461.5,466,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Bioengineering,301,295,301,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,373,371.5,373,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,956,937,956,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Engineering Science,286,285,286,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,112,109,112,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,149,103.5,149,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,624,599.5,624,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,51,40.5,51,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Environmental Design,Clg of Environmental Design,Architecture,586,578,586,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,38,36,38,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,52,51,52,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,13,10,13,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,177,146,177,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,15,14,15,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,259,220.1666667,259,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,8,7,8,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,222,179.6666667,222,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,275,238.1666667,275,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,169,153,169,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,57,52,57,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,50,46,50,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,97,74.66666667,97,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,English,605,544.3333333,605,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,88,78.5,88,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,French,45,35,45,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,German,31,22.33333333,31,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,76,68.5,76,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Italian Studies,16,10.83333333,16,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Music,104,95,104,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,20,15,20,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Other Arts & Humanities Pgms,1,1,1,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,169,149.1666667,169,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,136,107.6666667,136,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Scandinavian,8,7,8,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Slavic Languages & Literatures,18,15.83333333,18,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,31,23,31,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,99,78,99,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,80,70,80,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,331,304,331,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,938,850.1666667,938,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Astronomy,51,39.33333333,51,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,29,26,29,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,312,263.6666667,312,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Other Physical Sciences Pgms,3,3,3,2005-06
2005 Fall,2005 D,Fall,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Physics,122,97.66666667,122,2005-06
