Div,Dept,Prog,FTE
Clg of Chemistry,Chem & Biomolecular Eng,Chem & Biomolecular Eng,16.5
Clg of Chemistry,Chemistry,Chemistry,42
Clg of Chemistry,Chemistry,Other Chemistry Programs,0
Clg of Engineering,App Sci & Tech Grad Grp,App Sci & Tech Grad Grp,0
Clg of Engineering,Bioengineering,Bioengineering,19.5
Clg of Engineering,Civil & Environmental Eng,Civil & Environmental Eng,40.5
Clg of Engineering,Electrical Eng & Comp Sci,Electrical Eng & Comp Sci,90.5
Clg of Engineering,Engineering Science,Engineering Science,0
Clg of Engineering,Industrial Eng & Ops Rsch,Industrial Eng & Ops Rsch,14
Clg of Engineering,Materials Science & Eng,Materials Science & Eng,13
Clg of Engineering,Mechanical Engineering,Mechanical Engineering,41
Clg of Engineering,Nuclear Engineering,Nuclear Engineering,8
Clg of Engineering,Ocean Eng Grad Grp,Ocean Eng Grad Grp,0
Clg of Env Design,Architecture,Architecture,29.75
Clg of Env Design,City & Regional Planning,City & Regional Planning,12.75
Clg of Env Design,Landscape Arch & Env Plan,Landscape Arch & Env Plan,10
Clg of Env Design,Other Env Design Programs,Other Env Design Programs,0
Clg of Env Design,Urban Design Grad Grp,Urban Design Grad Grp,0
Clg of Natural Resources,Ag & Env Chem Grad Grp,Ag & Env Chem Grad Grp,0
Clg of Natural Resources,Ag & Resource Econ & Pol,Ag & Resource Econ & Pol,18.85
Clg of Natural Resources,Comp Biochem Grad Grp,Comp Biochem Grad Grp,0
Clg of Natural Resources,Dev Practice Grad Grp,Dev Practice Grad Grp,0
Clg of Natural Resources,Energy & Resources Group,Energy & Resources Group,4.5
Clg of Natural Resources,"Env Sci, Policy, & Mgmt","Env Sci, Policy, & Mgmt",49.17
Clg of Natural Resources,Metabolic Bio Grad Grp,Metabolic Bio Grad Grp,0
Clg of Natural Resources,Microbiology Grad Grp,Microbiology Grad Grp,0
Clg of Natural Resources,Molecular Tox Grad Grp,Molecular Tox Grad Grp,0
Clg of Natural Resources,Nutritional Science & Tox,Nutritional Science & Tox,10.33
Clg of Natural Resources,Other CNR Programs,Other CNR Programs,0
Clg of Natural Resources,Plant & Microbial Biology,Plant & Microbial Biology,27
Clg of Natural Resources,Range Mgmt Grad Grp,Range Mgmt Grad Grp,0
Clg of Natural Resources,Wood Sci & Tech Grad Grp,Wood Sci & Tech Grad Grp,0
Goldman School Pub Pol,Public Policy,Public Policy,18.5
Grad School of Education,Education,Education,28.25
Grad School of Education,Sci & Math Educ Grad Grp,Sci & Math Educ Grad Grp,0
Grad School of Journalism,Journalism,Journalism,9
Graduate Division,Interdisc Doctoral Pgms,Interdisc Doctoral Pgms,0
Haas School of Business,Business,Business,82
I School,Information,Information,12
I School,Library & Info Studies,Library & Info Studies,0
Clg of Chemistry,Chemistry,L&S Chemistry,0
Clg of Engineering,Electrical Eng & Comp Sci,L&S Computer Science,0
