TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GEO,TotalPop,ID
423800,06001423800,4238,Census Tract 4238,G5020,1041971,0,+37.8547587,-122.2441385,"Census Tract 4238, Alameda County, California",2925,06001423800
422200,06001422200,4222,Census Tract 4222,G5020,674825,0,+37.8728822,-122.2878154,"Census Tract 4222, Alameda County, California",3144,06001422200
422400,06001422400,4224,Census Tract 4224,G5020,475569,0,+37.8752396,-122.2695878,"Census Tract 4224, Alameda County, California",4196,06001422400
422500,06001422500,4225,Census Tract 4225,G5020,460332,0,+37.8773131,-122.2603183,"Census Tract 4225, Alameda County, California",4658,06001422500
422300,06001422300,4223,Census Tract 4223,G5020,560051,0,+37.8740723,-122.2779152,"Census Tract 4223, Alameda County, California",3387,06001422300
421800,06001421800,4218,Census Tract 4218,G5020,528477,0,+37.8802854,-122.2782006,"Census Tract 4218, Alameda County, California",2007,06001421800
423601,06001423601,4236.01,Census Tract 4236.01,G5020,524803,0,+37.8588968,-122.2587175,"Census Tract 4236.01, Alameda County, California",2642,06001423601
421600,06001421600,4216,Census Tract 4216,G5020,1330318,0,+37.8839567,-122.2559829,"Census Tract 4216, Alameda County, California",3558,06001421600
421700,06001421700,4217,Census Tract 4217,G5020,573819,0,+37.8819398,-122.2701843,"Census Tract 4217, Alameda County, California",3198,06001421700
421200,06001421200,4212,Census Tract 4212,G5020,1354146,1509,+37.8975481,-122.2752271,"Census Tract 4212, Alameda County, California",3563,06001421200
421100,06001421100,4211,Census Tract 4211,G5020,745509,0,+37.8994340,-122.2661928,"Census Tract 4211, Alameda County, California",1992,06001421100
423500,06001423500,4235,Census Tract 4235,G5020,635239,0,+37.8593650,-122.2680467,"Census Tract 4235, Alameda County, California",3118,06001423500
423200,06001423200,4232,Census Tract 4232,G5020,456777,0,+37.8645164,-122.2936857,"Census Tract 4232, Alameda County, California",2794,06001423200
422000,06001422000,4220,Census Tract 4220,G5020,4498259,5864359,+37.8590327,-122.3013426,"Census Tract 4220, Alameda County, California",1756,06001422000
421900,06001421900,4219,Census Tract 4219,G5020,856778,0,+37.8794799,-122.2896443,"Census Tract 4219, Alameda County, California",3632,06001421900
421300,06001421300,4213,Census Tract 4213,G5020,1106644,0,+37.8911093,-122.2813663,"Census Tract 4213, Alameda County, California",3844,06001421300
424001,06001424001,4240.01,Census Tract 4240.01,G5020,510803,0,+37.8503526,-122.2746683,"Census Tract 4240.01, Alameda County, California",3716,06001424001
423602,06001423602,4236.02,Census Tract 4236.02,G5020,403177,0,+37.8631882,-122.2592723,"Census Tract 4236.02, Alameda County, California",5659,06001423602
423300,06001423300,4233,Census Tract 4233,G5020,726522,0,+37.8573287,-122.2842021,"Census Tract 4233, Alameda County, California",3647,06001423300
421500,06001421500,4215,Census Tract 4215,G5020,1590672,3635,+37.8920346,-122.2590314,"Census Tract 4215, Alameda County, California",3640,06001421500
422800,06001422800,4228,Census Tract 4228,G5020,408570,0,+37.8667875,-122.2599790,"Census Tract 4228, Alameda County, California",8368,06001422800
423700,06001423700,4237,Census Tract 4237,G5020,744052,0,+37.8618413,-122.2489230,"Census Tract 4237, Alameda County, California",3633,06001423700
421400,06001421400,4214,Census Tract 4214,G5020,474781,0,+37.8883409,-122.2709220,"Census Tract 4214, Alameda County, California",1593,06001421400
422100,06001422100,4221,Census Tract 4221,G5020,550467,0,+37.8733005,-122.2965391,"Census Tract 4221, Alameda County, California",2685,06001422100
423902,06001423902,4239.02,Census Tract 4239.02,G5020,319790,0,+37.8547152,-122.2573724,"Census Tract 4239.02, Alameda County, California",1552,06001423902
423000,06001423000,4230,Census Tract 4230,G5020,730085,0,+37.8668441,-122.2771352,"Census Tract 4230, Alameda County, California",4396,06001423000
423901,06001423901,4239.01,Census Tract 4239.01,G5020,395033,0,+37.8523001,-122.2675177,"Census Tract 4239.01, Alameda County, California",2020,06001423901
424002,06001424002,4240.02,Census Tract 4240.02,G5020,329556,0,+37.8504976,-122.2815989,"Census Tract 4240.02, Alameda County, California",2172,06001424002
423100,06001423100,4231,Census Tract 4231,G5020,748651,0,+37.8658070,-122.2863197,"Census Tract 4231, Alameda County, California",3964,06001423100
422700,06001422700,4227,Census Tract 4227,G5020,344354,0,+37.8679125,-122.2495401,"Census Tract 4227, Alameda County, California",4885,06001422700
422600,06001422600,4226,Census Tract 4226,G5020,1718030,0,+37.8738125,-122.2545472,"Census Tract 4226, Alameda County, California",1215,06001422600
422900,06001422900,4229,Census Tract 4229,G5020,544286,0,+37.8678899,-122.2692470,"Census Tract 4229, Alameda County, California",4336,06001422900
423400,06001423400,4234,Census Tract 4234,G5020,755417,0,+37.8583737,-122.2758840,"Census Tract 4234, Alameda County, California",4685,06001423400
