CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,Block_Location,BLKADDR,City,State
15020096,THEFT MISD. (UNDER $950),04/05/2015 12:00:00 AM,00:00,LARCENY,0,06/10/2015 03:30:13 AM,"2400 DURANT AVE
Berkeley, CA
(37.867563518000054, -122.26081572799995)",2400 DURANT AVE,Berkeley,CA
15015077,BRANDISHING,03/14/2015 12:00:00 AM,11:48,WEAPONS OFFENSE,6,06/10/2015 03:30:12 AM,"500 ARLINGTON AVE
Berkeley, CA
(37.901439451000044, -122.27676445999998)",500 ARLINGTON AVE,Berkeley,CA
15018850,BURGLARY AUTO,03/31/2015 12:00:00 AM,19:30,BURGLARY - VEHICLE,2,06/10/2015 03:30:13 AM,"2100 ALLSTON WAY
Berkeley, CA
(37.869401560000028, -122.26775037099998)",2100 ALLSTON WAY,Berkeley,CA
15090025,THEFT MISD. (UNDER $950),01/07/2015 12:00:00 AM,12:00,LARCENY,3,06/10/2015 03:30:10 AM,"VICENTE RD
Berkeley, CA
(37.856223599000032, -122.23466083199997)",VICENTE RD,Berkeley,CA
15007547,BURGLARY RESIDENTIAL,02/06/2015 12:00:00 AM,13:30,BURGLARY - RESIDENTIAL,5,06/10/2015 03:30:11 AM,"1900 MCGEE AVE
Berkeley, CA
(37.872416929000053, -122.27770356999997)",1900 MCGEE AVE,Berkeley,CA
15008715,DOMESTIC VIOLENCE,02/11/2015 12:00:00 AM,23:27,FAMILY OFFENSE,3,06/10/2015 03:30:11 AM,"2300 DURANT AVE
Berkeley, CA
(37.867223595000041, -122.26324588999995)",2300 DURANT AVE,Berkeley,CA
15020670,BURGLARY RESIDENTIAL,04/09/2015 12:00:00 AM,11:30,BURGLARY - RESIDENTIAL,4,06/10/2015 03:30:13 AM,"1700 WALNUT ST
Berkeley, CA
(37.876596255000038, -122.26780431699996)",1700 WALNUT ST,Berkeley,CA
15090290,VANDALISM,02/19/2015 12:00:00 AM,19:00,VANDALISM,4,06/10/2015 03:30:12 AM,"2100 ROSE ST
Berkeley, CA
(37.882050689000039, -122.26919819199998)",2100 ROSE ST,Berkeley,CA
15090811,BURGLARY AUTO,05/19/2015 12:00:00 AM,15:35,BURGLARY - VEHICLE,2,06/10/2015 03:30:09 AM,"2500 DURANT AVE
Berkeley, CA
(37.867822782000076, -122.25868631099996)",2500 DURANT AVE,Berkeley,CA
15090404,THEFT FELONY (OVER $950),03/11/2015 12:00:00 AM,00:00,LARCENY,3,06/10/2015 03:30:12 AM,"2200 ASHBY AVE
Berkeley, CA
(37.855692500000032, -122.26336161599994)",2200 ASHBY AVE,Berkeley,CA
15090903,BURGLARY AUTO,06/04/2015 12:00:00 AM,15:55,BURGLARY - VEHICLE,4,06/10/2015 03:30:10 AM,"900 GRIZZLY PEAK BLVD
Berkeley, CA
(37.89693518200005, -122.26163384799997)",900 GRIZZLY PEAK BLVD,Berkeley,CA
15022018,THEFT MISD. (UNDER $950),04/15/2015 12:00:00 AM,18:00,LARCENY,3,06/10/2015 03:30:13 AM,"2000 UNIVERSITY AVE
Berkeley, CA
(37.871802763000062, -122.27056633599994)",2000 UNIVERSITY AVE,Berkeley,CA
15004824,NARCOTICS,01/25/2015 12:00:00 AM,23:25,DRUG VIOLATION,0,06/10/2015 03:30:10 AM,"SECOND STREET &amp; JONES ST
Berkeley, CA
(37.874373971000068, -122.30443811599997)",SECOND STREET & JONES ST,Berkeley,CA
15000528,THEFT MISD. (UNDER $950),01/03/2015 12:00:00 AM,17:40,LARCENY,6,06/10/2015 03:30:10 AM,"2500 TELEGRAPH AVE
Berkeley, CA
(37.864457826000034, -122.25854806999996)",2500 TELEGRAPH AVE,Berkeley,CA
15024013,BURGLARY AUTO,04/25/2015 12:00:00 AM,01:00,BURGLARY - VEHICLE,6,06/10/2015 03:30:14 AM,"2200 MCKINLEY AVE
Berkeley, CA
(37.868406988000061, -122.27384342599998)",2200 MCKINLEY AVE,Berkeley,CA
15007869,ASSAULT/BATTERY MISD.,02/08/2015 12:00:00 AM,09:39,ASSAULT,0,06/10/2015 03:30:11 AM,"2000 SHATTUCK AVE
Berkeley, CA
(37.871906468000077, -122.26839428499994)",2000 SHATTUCK AVE,Berkeley,CA
15028459,NARCOTICS,05/16/2015 12:00:00 AM,23:55,DRUG VIOLATION,6,06/10/2015 03:30:09 AM,"BAY STREET &amp; POTTER ST
Berkeley, CA
(37.850500368000041, -122.29608611899999)",BAY STREET & POTTER ST,Berkeley,CA
15023349,BURGLARY AUTO,04/21/2015 12:00:00 AM,20:50,BURGLARY - VEHICLE,2,06/10/2015 03:30:14 AM,"2200 SHATTUCK AVE
Berkeley, CA
(37.869098358000031, -122.26811428099995)",2200 SHATTUCK AVE,Berkeley,CA
15004454,THEFT MISD. (UNDER $950),01/24/2015 12:00:00 AM,01:00,LARCENY,6,06/10/2015 03:30:10 AM,"3300 KING ST
Berkeley, CA
(37.84835664700006, -122.27362006699997)",3300 KING ST,Berkeley,CA
15090016,VANDALISM,01/04/2015 12:00:00 AM,18:50,VANDALISM,0,06/10/2015 03:30:10 AM,"2000 BERKELEY WAY
Berkeley, CA
(37.872662733000027, -122.27061968599997)",2000 BERKELEY WAY,Berkeley,CA
15031150,BURGLARY AUTO,05/30/2015 12:00:00 AM,08:20,BURGLARY - VEHICLE,6,06/10/2015 03:30:09 AM,"100 SPINNAKER WAY
Berkeley, CA
(37.870041474000061, -122.31747858999995)",100 SPINNAKER WAY,Berkeley,CA
15004382,FRAUD/FORGERY,01/22/2015 12:00:00 AM,22:50,FRAUD,4,06/10/2015 03:30:10 AM,"35TH AVENUE &amp;PAXTON
Berkeley, CA
(37.86988305400007, -122.27053687599999)",35TH AVENUE &PAXTON,Berkeley,CA
15030504,FRAUD/FORGERY,02/14/2015 12:00:00 AM,15:00,FRAUD,6,06/10/2015 03:30:09 AM,"1000 WOODSIDE RD
Berkeley, CA
(37.894108760000051, -122.25389949899994)",1000 WOODSIDE RD,Berkeley,CA
15030898,BURGLARY AUTO,05/28/2015 12:00:00 AM,22:00,BURGLARY - VEHICLE,4,06/10/2015 03:30:09 AM,"2000 NINTH ST
Berkeley, CA
(37.868509937000056, -122.29439071399997)",2000 NINTH ST,Berkeley,CA
15090600,THEFT MISD. (UNDER $950),04/07/2015 12:00:00 AM,22:35,LARCENY,2,06/10/2015 03:30:13 AM,"1941 UNIVERSITY AVE
Berkeley, CA
(37.871757824000042, -122.27206314999995)",1941 UNIVERSITY AVE,Berkeley,CA
15023332,DISTURBANCE,04/22/2015 12:00:00 AM,08:04,DISORDERLY CONDUCT,3,06/10/2015 03:30:14 AM,"2200 SHATTUCK AVE
Berkeley, CA
(37.869098358000031, -122.26811428099995)",2200 SHATTUCK AVE,Berkeley,CA
14073797,GUN/WEAPON,12/18/2014 12:00:00 AM,13:24,WEAPONS OFFENSE,4,06/10/2015 03:30:09 AM,"INTERSTATE 80
Berkeley, CA
(37.872928931000047, -122.30581788699999)",INTERSTATE 80,Berkeley,CA
15013279,BURGLARY RESIDENTIAL,03/03/2015 12:00:00 AM,03:00,BURGLARY - RESIDENTIAL,2,06/10/2015 03:30:12 AM,"1200 CARLETON ST
Berkeley, CA
(37.858753171000046, -122.28659572899994)",1200 CARLETON ST,Berkeley,CA
15010170,ASSAULT/BATTERY MISD.,02/18/2015 12:00:00 AM,18:00,ASSAULT,3,06/10/2015 03:30:11 AM,"SAN PABLO AVENUE &amp; FRANCISCO ST
Berkeley, CA
(37.872562748000064, -122.29332721399999)",SAN PABLO AVENUE & FRANCISCO ST,Berkeley,CA
