Year,Units,Amount,Source
2003, metric tons/1000 therms ,5.307,PG&E
2004, metric tons/1000 therms ,5.307,PG&E
2005, metric tons/1000 therms ,5.307,PG&E
2006, metric tons/1000 therms ,5.307,PG&E
2007, metric tons/1000 therms ,5.307,PG&E
2008, metric tons/1000 therms ,5.307,PG&E
2009, metric tons/1000 therms ,5.307,PG&E
2010, metric tons/1000 therms ,5.307,PG&E
2011, metric tons/1000 therms ,5.307,PG&E
2012, metric tons/1000 therms ,5.307,PG&E
2013, metric tons/1000 therms ,5.307,PG&E
2000,metric tons/mWh,0.257,"LBNL, Scott Murtishaw"
2003,metric tons/mWh,0.281,PG&E
2004,metric tons/mWh,0.257,PG&E
2005,metric tons/mWh,0.222,PG&E
2006,metric tons/mWh,0.207,PG&E
2007,metric tons/mWh,0.288,PG&E
2008,metric tons/mWh,0.291,PG&E
2009,metric tons/mWh,0.261,PG&E
2010,metric tons/mWh,0.202,PG&E
2011,metric tons/mWh,0.178,PG&E
2012,metric tons/mWh,0.202,PG&E
2013,metric tons/mWh,0.226,PG&E
