Year,Department,idsite,Site,End Use,Annual Cost,Annual Water (Gallons),Annual Elec (kWh),Annual Nat Gas (Therms),Annual Energy (kWheq),Location 1
2014,Animal Shelter,488,Spring Animal Shelter,Buildings,$61738,732280,213892,13483,609054,"1 Bolivar Way
Berkeley, CA
(37.862794217000044, -122.30058657299998)"
2014,HHCS,499,1654 5th St.,Buildings,$208,2210,0,,0,"1654 5th St
Berkeley, CA
(37.87221067100006, -122.30028137999994)"
2014,HHCS,491,9th St. Duplex--Lower,Buildings,$6,,0,,0,"2240 9th St
Berkeley, CA
(37.86455951900007, -122.29313147099998)"
2014,HHCS,490,9th St. Duplex--Upper,Buildings,$0,,0,,0,"2240 9th St
Berkeley, CA
(37.86455951900007, -122.29313147099998)"
2014,HHCS,34,Health Clinic (830 University),Buildings,$23144,82580,102074,4266,227102,"830 University Ave
Berkeley, CA
(37.86799331900005, -122.29724511699999)"
2014,HHCS,438,Mental Health - 3282 Adeline,Buildings,$8348,153375,26010,535,41690,"3282 Adeline St
Berkeley, CA
(37.848903466000024, -122.27149046599999)"
2014,HHCS,493,Mental Health Admin / 2636 MLK,Buildings,$2915,32638,8941,408,20898,"2336 MLK Jr Way
Berkeley, CA
(37.86558620300008, -122.27239385499996)"
2014,HHCS,52,Mental Health Clinic/2640 MLK WAY,Buildings,$14357,144186,55262,1200,90431,"2636 Martin Luther King Jr Way
Berkeley, CA
(37.85996652400007, -122.27177392799996)"
2014,HHCS,29,Senior Center - North Berkeley,Buildings,$31269,360235,117460,2548,192137,"1901 Hearst St
Berkeley, CA
(37.87342748000003, -122.27267155499999)"
2014,HHCS,31,Senior Center - South Berkeley,Buildings,$20907,133636,80108,2702,159299,"2939 Ellis St
Berkeley, CA
(37.854223552000065, -122.27319469099996)"
2014,HHCS,28,Senior Center - West Berkeley,Buildings,$12373,83878,46456,1612,93700,"1900 6th St
Berkeley, CA
(37.86892205800007, -122.29802290699996)"
2014,Libraries,5,Claremont Library,Buildings,$34573,228964,153271,237,160218,"2940 Benvenue
Berkeley, CA
(37.856632973000046, -122.25422237099997)"
2014,Libraries,6,Main Library,Buildings,$220453,642551,1107134,12848,1483689,"2090 Kittredge
Berkeley, CA
(37.86836320200007, -122.26856597499994)"
2014,Libraries,134,North Berkeley Library,Buildings,$23977,292098,79180,1634,127070,"1170 The
Berkeley, CA
(37.89028521600005, -122.27243061899998)"
2014,Libraries,7,South Berkeley Library,Buildings,$19945,100620,55867,3621,161991,"1901 Russell St
Berkeley, CA
(37.85620778100008, -122.27095235099995)"
2014,Libraries,8,West Berkeley Library,Buildings,$4229,192101,-5279,,-5279,"1125 University Ave
Berkeley, CA
(37.86934840300006, -122.29087299899999)"
2014,Other,441,Rent Board Surrogate,Buildings,$63898,,359692,7641,583638,"2125 Milvia
Berkeley, CA
(37.87041463500003, -122.27055319199997)"
2014,Planning,440,Permit Service Center,Buildings,$41235,193466,167456,3027,256171,"2120 Milvia St
Berkeley, CA
(37.87022759400003, -122.27060436199997)"
2014,PRW,232,1901 HENRY ST-MINI PARK HEARST/HENRY,Irrigation,$324,721,,,0,"1901 HENRY ST
Berkeley, CA
(37.87355653600008, -122.26970558199997)"
2014,PRW,255,1951 MILVIA ST,Irrigation,$263,0,,,0,"1951 MILVIA ST
Berkeley, CA
(37.87238577800008, -122.27065771599996)"
2014,PRW,195,2 EL CAMINO REAL,unknown,$156,0,,,0,"2 EL
Berkeley, CA
(37.86988305400007, -122.270536876)"
2014,PRW,150,2005 ADDISON ST,Irrigation,$263,0,,,0,"2005 ADDISON ST
Berkeley, CA
(37.87092774700005, -122.27033848399998)"
2014,PRW,489,21 Shattuck Square,Irrigation,$555,25939,,,0,"21 Shattuck Square
Berkeley, CA
(37.871944717000076, -122.26832557799997)"
2014,PRW,144,63rd St Mini Park,Irrigation,$671,72682,,,0,"1615 63rd ST
Berkeley, CA
(37.84738821600007, -122.27497266199998)"
2014,PRW,276,ALACOSTA CTR,,$1174,50015,,,0,"1300 ROSE ST
Berkeley, CA
(37.87689354400004, -122.28866407399994)"
2014,PRW,426,AMTRAK station irrigation & signs,Streetlighting metered,$536,,2263,,2263,"701 University
Berkeley, CA
(37.86753816800007, -122.30059479999994)"
2014,PRW,77,Aquatic Park,Parks (multiple end uses),$15064,1989497,6395,0,6395,"601 Bolivar Drive
Berkeley, CA
(37.86284252200005, -122.30224814599995)"
2014,PRW,492,Aquatic Pk. Bike Bridge Lights,Streetlighting metered,$5600,,31672,,31672,"1 Bolivar Way
Berkeley, CA
(37.862794217000044, -122.30058657299998)"
2014,PRW,422,Ashby Place Park irrigation,Irrigation,$3081,348473,63,,63,"2800 Ashby
Berkeley, CA
(37.85770499500006, -122.25065718899998)"
