OBJECTID,NAME,POLY_TYP,MBL_UNIT,Address,Hyperlink,Shape_area,Shape_len
1,King School Park,Park,SD,Hopkins Street east of Colusa Ave,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12650,15246.026695200000177,512.113787200000047
2,Adventure Playground,Park,7,"162 University Avenue, Berkeley Marina",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,3453.199238260000129,239.989519588999997
3,Shorebird Park,Park,7,"160 University Avenue, Berkeley Mariina",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12876,25378.617920600001526,649.515559688000053
4,Cesar Chavez  ( Protected Natural area),Park,7,"11 Spinnaker Wy, North of west end of Uni., Marina",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12102,57995.423719899998105,1143.672723169999927
5,Cesar Chavez  (Dog Park),Park,7,"11 Spinnaker Wy, North of west end of Uni., Marina",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12102,59936.733576400001766,994.929510662999974
6,Cesar Chavez Park,Park,7,"11 Spinnaker Wy, North of west end of Uni., Marina",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12102,234418.114115000003949,2754.749919079999927
7,Horseshoe Park,Park,7,"101 Seawall Drive, Berkeley Marina",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12608,3336.566157990000193,232.791885439999987
8,Halcyon Commons Park,Park,2,Center of Halcyon Court at Prince Street,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12586,929.15522334000002,150.956017738000014
9,Greg Brown Mini-Park,Park,2,1907 Harmon Street,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12566,1864.742127550000077,277.444509734000007
10,Aquatic Park,Park,3,"80  Bolivar Drive, at the foot of Bancroft Way",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,54525.220480099997076,937.825520901000004
11,Cragmont Park,Park,1,"960 Regal Rd, at Easter Way",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12130,12807.38445160000083,470.146030321000012
12,Dorothy Bolte Park,Park,1,540 Spruce Street at Michigan Avenue,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12214,4716.019763520000197,289.006003204000024
13,George Florence Park,Park,1,2121 Tenth Street between Allston and Addison,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12496,2001.8103669300001,179.625263372000006
14,Greg Brown Park,Park,2,1907 Harmon Street,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12566,2182.704678839999815,278.472018602999981
15,Harrison Park,Park,3,1100 4th Street  at Harrison Street,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12594,43624.192809100000886,879.728825504000042
16,James Kenney Park,Park,3,1720 Eighth Street between Delaware and Virginia,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12620,14902.615096699999413,526.825674402999994
17,Karl Linn Garden,Park,1,Karl Linn Garden,N/A,567.735939573999985,144.390418149999988
18,Ohlone Park - Milvia to Bonita,Park,1,on Hearst Ave from Milvia to Sac Street,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12716,3347.371780840000156,264.136840233999976
19,Solano Peralta Park,Park,1,1559 Solano Ave at Peralta and Capistrano,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12894,554.486894617999951,98.901547091799998
20,Strawberry Creek Park,Park,3,1260 Allston Way,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12900,14103.659808099999282,901.589488053999958
21,George Florence Park,Park,4,2121 Tenth Street between Allston and Addison,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12496,2018.34054601999992,180.443141069999996
22,Bateman Mall Park,Park,2,"3027 Colby Street, near Prince Street",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12030,2235.64380489999985,193.025276297999994
23,Marina Mall,Park,7,"201 University Ave, Berkeley Marina",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12696,503.539264328000002,90.4975639261
24,Live Oak Park,Park,1,1301 Shattuck Avenue,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12676,20024.448071999999229,846.977559742000039
25,Virginia-McGee Tot Lot,Park,1,1644 Virginia Street,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12936,1701.902361359999986,164.122924387000012
26,UCB - People's Park,Park,UC,2556 Haste Street,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12760,11116.06025149999914,436.086477576999982
27,Harrison Skate Park,Park,3,1100 4th Street  at Harrison Street,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12594,1983.312843650000104,190.345715023999986
28,63rd Street Mini-Park,Park,2,1615 63rd Street between King and California,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12886,770.268591889000049,143.593354438000006
29,Aquatic Park,Park,3,"80  Bolivar Drive, at the foot of Bancroft Way",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,181220.699544000002788,1998.507770870000058
30,Aquatic Park,Park,3,"80  Bolivar Drive, at the foot of Bancroft Way",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,122644.152591000005486,1923.912638539999989
31,Aquatic Park,Park,3,"80  Bolivar Drive, at the foot of Bancroft Way",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,285.274910272,68.662224807399994
32,Aquatic Park,Park,3,"80  Bolivar Drive, at the foot of Bancroft Way",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,2703.623932640000021,344.896431430000007
33,Aquatic Park,Park,3,"80  Bolivar Drive, at the foot of Bancroft Way",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,1112.187425659999917,176.788280133000001
34,Aquatic Park,Park,3,"80  Bolivar Drive, at the foot of Bancroft Way",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,2040.89451852000002,233.631118678000007
35,Aquatic Park,Park,3,"80  Bolivar Drive, at the foot of Bancroft Way",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,4407.963142659999903,287.591039168999998
36,Aquatic Park,Park,3,"80  Bolivar Drive, at the foot of Bancroft Way",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,6320.790988749999997,885.121980011000005
37,Aquatic Park,Park,3,"80  Bolivar Drive, at the foot of Bancroft Way",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,7492.15744401000029,569.10316155199996
38,Aquatic Park,Park,3,"80  Bolivar Drive, at the foot of Bancroft Way",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,932.933199218000027,125.659458361999995
39,Aquatic Park,Park,3,"80  Bolivar Drive, at the foot of Bancroft Way",http://www.cityofberkeley.info/ContentDisplay.aspx?id=8656,1921.946643029999905,185.786142963000003
40,Ashby Place Park,Park,2,Ashby Place Park,N/A,2501.502716989999954,411.812115826000024
41,BART - Short Street Park / North,Park,3,BART - Short Street Park / North,N/A,165.68541788600001,50.187673425500002
42,Bay Trail - Beach and University Avenue Ped Bridge,Park,3,West I-80 from Emeryville to Richmond,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12960,60751.428069699999469,4269.842563430000155
43,Becky Temko Tot Park,Park,2,2424 Roosevelt St bet. Dwight and Channing,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12036,635.611370556999987,111.414324200999999
44,"Berkeley Lawn Bowling Club - Greens, Clubhouse",Park,3,"Berkeley Lawn Bowling Club - Greens, Clubhouse",N/A,5202.782200010000452,411.144712658999993
45,Charlie Dorr Mini-Park,Park,3,2208 Acton Street between Allston and Bancroft,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12112,951.560638808000022,149.387285324000004
46,Berkeley Rose Garden,Park,1,"1200  Euclid Avenue, across from Codornices Park",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12048,15167.410385200000746,653.490273749000039
47,Codornices Park,Park,1,"1201 Euclid Avenue, across from Rose Garden",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12118,44966.881594500002393,914.349021648999951
48,Berkeley Way Mini Park,Park,3,"1294 Berkeley Way, at West Street",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12054,2088.434060950000003,238.773044578999986
49,Cedar-Rose Park,Park,1,1300 Rose Street between Hopkins and Cedar Streets,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12072,19551.799430800001574,1053.953532459999906
50,Contra Costa Rock Park,Park,1,869-A Contra Costa Ave bet. Los Angeles & Yosemite,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12120,693.67390031299999,108.441687712999993
51,Frederick Park,Park,1,780 Arlington Avenue at Yosemite Road,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12220,921.58731861800004,126.535516565999998
52,Great Stoneface Park,Park,1,"1930 Thousand Oaks Blvd, at Yosemite Rd",http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12556,3208.656029499999931,215.778961263000014
53,Glendale - La Loma Park,Park,1,1310 La Loma at Glendale Avenue,http://www.cityofberkeley.info/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=12504,22877.421153600000252,793.090258703000018
