W3ALCD,Doing_Business_As,Restaurant_Address,Inspection_Date,Major_Violation_Improper_Holding_Temperature,Minor_Violation_Improper_Holding_Temperature,Major_Violation_Inadequate_Cooking,Minor_Violation_Inadequate_Cooking,Major_Violation_Personal_Hygiene,Minor_Violation_Personal_Hygiene,Major_Violation_Contaminated_Equipment,Minor_Violation_Contaminated_Equipment,Major_Violation_Unsafe_Food_Source,Minor_Violation_Unsafe_Food_Source,InDbDate
FA0000087,#1 GAS  1099/1616,"1900 M L KING JR WY
BERKELEY, CA
(37.873077187000035, -122.27320390899996)",12/27/2013,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001361,24 HOUR FITNESS #583,"2072 ADDISON ST
BERKELEY, CA
(37.87105378000007, -122.26888630899998)",01/12/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001360,24 HOUR FITNESS #704,"1775 SOLANO AVE
BERKELEY, CA
(37.89131780800005, -122.28064995399995)",11/12/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001485,723 TEA STATION,"2431-B DURANT AVE
BERKELEY, CA
(37.867731639000056, -122.25993168099996)",11/06/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000090,7-ELEVEN/1501UNIV  1099/1615,"1501 UNIVERSITY AVE
BERKELEY, CA
(37.870547928000065, -122.28157293199996)",01/07/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000539,7-ELEVEN #16192  1099/1615,"2887 COLLEGE AVE
BERKELEY, CA
(37.85873473500004, -122.25318531699997)",01/02/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000709,7-ELEVEN STORE  1099/1615,"2601 TELEGRAPH AVE
BERKELEY, CA
(37.863075380000055, -122.25869552899997)",01/02/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001333,7-ELEVEN STORE #2369-36482A,"2000 SAN PABLO AVE
BERKELEY, CA
(37.86880106900003, -122.29215203199999)",05/16/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000442,900 GRAYSON,"900 GRAYSON ST
BERKELEY, CA
(37.85531361000005, -122.292244214)",02/25/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000266,99C ONLY STORES,"1941 SAN PABLO AVE
BERKELEY, CA
(37.86955120400006, -122.29218775199996)",07/11/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000274,ACME BAR,"2115 SAN PABLO AVE
BERKELEY, CA
(37.86764072100004, -122.29156667199999)",04/14/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001014,A'CUPPA TEA,"2992 COLLEGE AVE
BERKELEY, CA
(37.856216999000026, -122.25300440899997)",01/02/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001400,ADA'S CAFE,"3075 ADELINE ST
BERKELEY, CA
(37.85308855400007, -122.26956845999996)",01/22/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001535,A DORA PIE,"1966 UNIVERSITY AVE
BERKELEY, CA
(37.871693296000046, -122.27144552699997)",,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001454,A.E. ARMENIA LLC,"1451 5TH ST
BERKELEY, CA
(37.87548084600007, -122.301266581)",12/15/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001354,AFC SUSHI @ SAFEWAY #691,"1444 SHATTUCK AVE
BERKELEY, CA
(37.88147483200004, -122.26958290099998)",11/10/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001356,A.G. FERRARI FOODS,"2905 COLLEGE AVE
BERKELEY, CA
(37.858133244000044, -122.25312539899994)",01/05/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001466,AIDELLS SAUSAGE,"2940 7TH ST
BERKELEY, CA
(37.85177956200005, -122.29136156599998)",10/23/2014,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000412,AJANTA RESTAURANT,"1888 SOLANO AVE
BERKELEY, CA
(37.89143303600008, -122.27737977899994)",05/29/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000534,AKI'S RESTAURANT,"2505-C HEARST AVE
BERKELEY, CA
(37.87515820800007, -122.25971299399998)",02/25/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000053,ALBORZ RESTAURANT,"2142 CENTER ST
BERKELEY, CA
(37.870463811000036, -122.26667508099996)",09/23/2014,0,1,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0000483,ALCATRAZ MARKET,"1601 ALCATRAZ AVE
BERKELEY, CA
(37.84820748800007, -122.27566287899998)",12/29/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001366,ALCHEMY COOPERATIVE INC.,"1741 ALCATRAZ AVE
BERKELEY, CA
(37.84863728900007, -122.27240307299996)",12/29/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000671,ALEGIO CHOCOLATE,"1511 E SHATTUCK AVE
BERKELEY, CA
(37.879774249000036, -122.26917553199996)",05/14/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001012,ALFONSO'S CAFE,"2309 SAN PABLO AVE
BERKELEY, CA
(37.86427144900006, -122.29048698399998)",08/05/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001495,ALLEGRO COFFEE ROASTERS @ WHOLE FOODS,"1025 GILMAN ST
BERKELEY, CA
(37.88016717700003, -122.29750553299999)",12/17/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0000343,ALMARE,"2170 SHATTUCK AVE
BERKELEY, CA
(37.86974478800005, -122.26803362099997)",02/11/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:01 AM
FA0001057,ALTA BATES MEDICAL CTR FOOD SERV,"2450 ASHBY AVE
BERKELEY, CA
(37.85638292800007, -122.25792580499996)",01/07/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001056,ALTA BATES MEDICAL CTR FOOD SERV,"2001 DWIGHT WAY
BERKELEY, CA
(37.86378749100004, -122.26895314199999)",01/06/2015,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
FA0001146,AMAZING CRAB,"2370 SHATTUCK AVE
BERKELEY, CA
(37.86592878600004, -122.26770749399998)",05/08/2014,0,0,0,0,0,0,0,0,0,0,06/08/2015 05:00:02 AM
