T_ADDR,F_ADDR,F_ADDL,T_ADDL,STREET_NAM,STREET_TYP,FULLNAME,PAV_WIDTH_,block_addr,CATEGORY
0,0,0,0,THE UPLANDS,PATH,THE UPLANDS PATH,0,block of The Uplands Ramp,MINOR
0,0,0,0,CALDECOTT,LN,CALDECOTT LN,0,block of Caldecott Ln,MAJOR
0,0,0,0,CALDECOTT,LN,CALDECOTT LN,0,block of Caldecott Ln,MAJOR
0,0,0,0,NOGALES ST,PATH,NOGALES ST PATH,0,block of Nogales St Ramp,MINOR
0,0,0,0,THE UPLANDS,PATH,THE UPLANDS PATH,0,block of The Uplands Ramp,PEDESTRIAN
0,0,0,0,HWY 24 EAST,,HWY 24 EAST,0,block of Hwy 24,HIGHWAY
3044,3030,3031,3045,TELEGRAPH,AVE,TELEGRAPH AVE,68,3032 block of Telegraph Ave,MAJOR
298,280,0,0,UNIVERSITY,AVE,UNIVERSITY AVE,72,270 block of University Ave,MINOR
3098,3070,3071,3099,CLAREMONT,AVE,CLAREMONT AVE,56,7538 block of Claremont Ave,MAJOR
0,0,281,299,UNIVERSITY,AVE,UNIVERSITY AVE,72,270 block of University Ave,MINOR
1098,1026,1027,1099,CEDAR,ST,CEDAR ST,37,1028 block of Cedar St,MAJOR
1898,1800,1801,1899,FRANCISCO,ST,FRANCISCO ST,36,1802 block of Francisco St,MINOR
0,0,0,0,ADDISON,ST,ADDISON ST,36,706 block of Addison St,MINOR
718,700,701,719,ADDISON,ST,ADDISON ST,36,706 block of Addison St,MINOR
1130,1100,1101,1129,ADDISON,ST,ADDISON ST,36,1100 block of Addison St,MINOR
98,2,1,99,NOGALES,ST,NOGALES ST,40,1 block of Nogales St,MINOR
68,44,51,65,THE PLAZA,DR,THE PLAZA DR,40,44 block of Dr,MINOR
0,0,0,0,I80 EAST (OFF RAMP) UNIV,,I80 EAST (OFF RAMP) UNIV,0,block of Ramp,CONNECTOR
0,0,0,0,SPRUCE,ST,SPRUCE ST,32,949 block of Spruce St,MAJOR
3070,3024,3023,3069,CLAREMONT,AVE,CLAREMONT AVE,56,7386 block of Claremont Ave,MAJOR
3014,3000,3001,3015,SHATTUCK,AVE,SHATTUCK AVE,46,3002 block of Shattuck Ave,MINOR
828,800,0,0,UNIVERSITY,AVE,UNIVERSITY AVE,0,800 block of UNIVERSITY AV,MINOR
0,0,0,0,HILLER,DR,HILLER DR,0,block of Caldecott Ln,MINOR
98,0,1,99,SOUTH CROSSWAYS,,SOUTH CROSSWAYS,0,99 block of The South Crossways,PEDESTRIAN
2198,2100,2101,2199,EMERSON,ST,EMERSON ST,36,2100 block of Emerson St,MINOR
0,0,0,0,52ND,ST,52ND ST,0,664 block of 52nd St,MINOR
0,0,0,0,52ND,ST,52ND ST,0,664 block of 52nd St,MINOR
0,0,0,0,HWY 24 WEST ONRAMP,,HWY 24 WEST ONRAMP,0,block of Frontage Rd,MAJOR
0,0,0,0,HWY 24 WEST ONRAMP,,HWY 24 WEST ONRAMP,0,block of Frontage Rd,MAJOR
0,0,0,0,PARK HILLS,RD,PARK HILLS RD,22,1032 block of Park Hills Rd,MINOR
0,0,0,0,HWY 24 EAST,,HWY 24 EAST,0,block of Hwy 24,HIGHWAY
0,0,0,0,HWY 24 EAST,,HWY 24 EAST,0,block of Hwy 24,HIGHWAY
0,0,0,0,HWY 24 EAST,,HWY 24 EAST,0,block of Hwy 24,HIGHWAY
36,10,11,35,SEAWALL,DR,SEAWALL DR,28,2 block of Seawall Dr,MINOR
36,10,11,35,SEAWALL,DR,SEAWALL DR,28,2 block of Seawall Dr,MINOR
622,596,601,619,ADDISON,ST,ADDISON ST,36,619 block of Addison St,MINOR
0,0,0,0,J DOCK,,J DOCK,0,J DOCK,PEDESTRIAN
0,0,0,0,O DOCK,,O DOCK,0,O DOCK,PEDESTRIAN
0,0,0,0,O DOCK,,O DOCK,0,O DOCK,PEDESTRIAN
0,0,0,0,O DOCK,,O DOCK,0,O DOCK,PEDESTRIAN
0,0,1,1,SPINNAKER,WAY,SPINNAKER WAY,40,2 block of Spinnaker Way,MINOR
0,0,1,1,SPINNAKER,WAY,SPINNAKER WAY,40,2 block of Spinnaker Way,MINOR
202,2,1,201,BOLIVAR,DR,BOLIVAR DR,0,36 block of Bolivar Dr,MINOR
0,0,0,0,,,,0,,MINOR
0,0,1,1,SPINNAKER,WAY,SPINNAKER WAY,40,2 block of Spinnaker Way,MINOR
2878,2700,2701,2849,PRINCE,ST,PRINCE ST,36,2702 block of Prince St,MINOR
92,70,71,93,THE PLAZA,DR,THE PLAZA DR,40,72 block of Dr,MINOR
0,0,0,0,THE CROSSWAYS,,THE CROSSWAYS,0,98 block of Crossways,PEDESTRIAN
